fecha,Kind,Number,variable
2018-08-23,Observed,32.0,calls
2018-08-24,Observed,23.0,calls
2018-08-25,Observed,25.0,calls
2018-08-26,Observed,20.0,calls
2018-08-27,Observed,48.0,calls
2018-08-28,Observed,23.0,calls
2018-08-29,Observed,16.0,calls
2018-08-30,Observed,24.0,calls
2018-08-31,Observed,10.0,calls
2018-09-03,Observed,2.0,calls
2018-09-04,Observed,4.0,calls
2018-09-05,Observed,4.0,calls
2018-09-06,Observed,21.0,calls
2018-09-07,Observed,23.0,calls
2018-09-08,Observed,18.0,calls
2018-09-09,Observed,11.0,calls
2018-09-10,Observed,23.0,calls
2018-09-11,Observed,7.0,calls
2018-09-12,Observed,3.0,calls
2018-09-13,Observed,33.0,calls
2018-09-14,Observed,19.0,calls
2018-09-15,Observed,24.0,calls
2018-09-16,Observed,17.0,calls
2018-09-17,Observed,40.0,calls
2018-09-18,Observed,25.0,calls
2018-09-19,Observed,25.0,calls
2018-09-20,Observed,32.0,calls
2018-09-21,Observed,33.0,calls
2018-09-22,Observed,23.0,calls
2018-09-23,Observed,13.0,calls
2018-09-24,Observed,31.0,calls
2018-09-25,Observed,19.0,calls
2018-09-26,Observed,34.0,calls
2018-09-27,Observed,32.0,calls
2018-09-28,Observed,19.0,calls
2018-09-29,Observed,22.0,calls
2018-09-30,Observed,18.0,calls
2018-10-01,Observed,38.0,calls
2018-10-02,Observed,30.0,calls
2018-10-03,Observed,25.0,calls
2018-10-04,Observed,24.0,calls
2018-10-05,Observed,28.0,calls
2018-10-06,Observed,25.0,calls
2018-10-07,Observed,28.0,calls
2018-10-08,Observed,24.0,calls
2018-10-09,Observed,26.0,calls
2018-10-10,Observed,23.0,calls
2018-10-11,Observed,31.0,calls
2018-10-12,Observed,34.0,calls
2018-10-13,Observed,38.0,calls
2018-10-14,Observed,21.0,calls
2018-10-15,Observed,13.0,calls
2018-10-16,Observed,33.0,calls
2018-10-17,Observed,27.0,calls
2018-10-18,Observed,23.0,calls
2018-10-19,Observed,29.0,calls
2018-10-20,Observed,14.0,calls
2018-10-21,Observed,26.0,calls
2018-10-22,Observed,52.0,calls
2018-10-23,Observed,37.0,calls
2018-10-24,Observed,42.0,calls
2018-10-25,Observed,35.0,calls
2018-10-26,Observed,22.0,calls
2018-10-27,Observed,27.0,calls
2018-10-28,Observed,22.0,calls
2018-10-29,Observed,42.0,calls
2018-10-30,Observed,27.0,calls
2018-10-31,Observed,23.0,calls
2018-11-01,Observed,29.0,calls
2018-11-02,Observed,28.0,calls
2018-11-03,Observed,26.0,calls
2018-11-04,Observed,17.0,calls
2018-11-05,Observed,40.0,calls
2018-11-06,Observed,15.0,calls
2018-11-07,Observed,29.0,calls
2018-11-08,Observed,26.0,calls
2018-11-09,Observed,16.0,calls
2018-11-10,Observed,31.0,calls
2018-11-11,Observed,15.0,calls
2018-11-12,Observed,34.0,calls
2018-11-13,Observed,20.0,calls
2018-11-14,Observed,24.0,calls
2018-11-15,Observed,36.0,calls
2018-11-16,Observed,20.0,calls
2018-11-17,Observed,23.0,calls
2018-11-18,Observed,28.0,calls
2018-11-19,Observed,20.0,calls
2018-11-20,Observed,34.0,calls
2018-11-21,Observed,25.0,calls
2018-11-22,Observed,35.0,calls
2018-11-23,Observed,20.0,calls
2018-11-24,Observed,32.0,calls
2018-11-25,Observed,13.0,calls
2018-11-26,Observed,37.0,calls
2018-11-27,Observed,39.0,calls
2018-11-28,Observed,36.0,calls
2018-11-29,Observed,34.0,calls
2018-11-30,Observed,21.0,calls
2018-12-01,Observed,23.0,calls
2018-12-02,Observed,19.0,calls
2018-12-03,Observed,41.0,calls
2018-12-04,Observed,26.0,calls
2018-12-05,Observed,22.0,calls
2018-12-06,Observed,21.0,calls
2018-12-07,Observed,20.0,calls
2018-12-08,Observed,15.0,calls
2018-12-09,Observed,21.0,calls
2018-12-10,Observed,34.0,calls
2018-12-11,Observed,20.0,calls
2018-12-12,Observed,18.0,calls
2018-12-13,Observed,26.0,calls
2018-12-14,Observed,16.0,calls
2018-12-15,Observed,22.0,calls
2018-12-16,Observed,17.0,calls
2018-12-17,Observed,26.0,calls
2018-12-18,Observed,22.0,calls
2018-12-19,Observed,33.0,calls
2018-12-20,Observed,25.0,calls
2018-12-21,Observed,26.0,calls
2018-12-22,Observed,22.0,calls
2018-12-23,Observed,31.0,calls
2018-12-24,Observed,16.0,calls
2018-12-25,Observed,21.0,calls
2018-12-26,Observed,26.0,calls
2018-12-27,Observed,18.0,calls
2018-12-28,Observed,25.0,calls
2018-12-29,Observed,26.0,calls
2018-12-30,Observed,11.0,calls
2018-12-31,Observed,20.0,calls
2019-01-01,Observed,17.0,calls
2019-01-02,Observed,22.0,calls
2019-01-03,Observed,17.0,calls
2019-01-04,Observed,16.0,calls
2019-01-05,Observed,19.0,calls
2019-01-06,Observed,23.0,calls
2019-01-07,Observed,31.0,calls
2019-01-08,Observed,21.0,calls
2019-01-09,Observed,31.0,calls
2019-01-10,Observed,22.0,calls
2019-01-11,Observed,29.0,calls
2019-01-12,Observed,26.0,calls
2019-01-13,Observed,26.0,calls
2019-01-14,Observed,42.0,calls
2019-01-15,Observed,27.0,calls
2019-01-16,Observed,29.0,calls
2019-01-17,Observed,11.0,calls
2019-01-18,Observed,19.0,calls
2019-01-19,Observed,14.0,calls
2019-01-20,Observed,21.0,calls
2019-01-21,Observed,29.0,calls
2019-01-22,Observed,25.0,calls
2019-01-23,Observed,26.0,calls
2019-01-24,Observed,32.0,calls
2019-01-25,Observed,31.0,calls
2019-01-26,Observed,29.0,calls
2019-01-27,Observed,32.0,calls
2019-01-28,Observed,37.0,calls
2019-01-29,Observed,29.0,calls
2019-01-30,Observed,34.0,calls
2019-01-31,Observed,26.0,calls
2019-02-01,Observed,17.0,calls
2019-02-02,Observed,30.0,calls
2019-02-03,Observed,15.0,calls
2019-02-04,Observed,36.0,calls
2019-02-05,Observed,21.0,calls
2019-02-06,Observed,29.0,calls
2019-02-07,Observed,36.0,calls
2019-02-08,Observed,29.0,calls
2019-02-09,Observed,29.0,calls
2019-02-10,Observed,23.0,calls
2019-02-11,Observed,22.0,calls
2019-02-12,Observed,20.0,calls
2019-02-13,Observed,31.0,calls
2019-02-14,Observed,23.0,calls
